RSI5,RSI30,CCI,GRID_SIZE,GRID_DISTANCE,PROFIT_TARGET,OFFSET,Trades,ProfitNet,ActualCash
50,45,100,10,0.08,0.008,0.0005,1,-63.5825,9936.42
50,50,-100,25,0.08,0.004,0.001,1,-15.3495,9984.65
40,55,-100,15,0.08,0.008,0.0001,1,-26.3766,9973.62
50,40,-100,30,0.08,0.006,0.0005,5,13.9633,10013.96
50,60,-150,20,0.08,0.008,0.0001,1,-19.6196,9980.38
40,60,50,20,0.08,0.002,0.0005,6,-16.5054,9983.49
40,55,-150,15,0.08,0.006,0.0001,1,-25.5798,9974.42
45,60,-200,10,0.08,0.006,0.0001,4,14.5653,10014.57
45,50,-100,30,0.08,0.002,0.0001,2,-11.1703,9988.83
45,40,-150,30,0.08,0.004,0.0001,5,10.4547,10010.45
50,50,-50,15,0.08,0.008,0.0005,1,-25.9032,9974.1
50,55,-100,30,0.08,0.008,0.0001,1,-14.5571,9985.44
50,40,100,10,0.08,0.002,0.001,5,28.4685,10028.47
40,60,-150,30,0.08,0.008,0.001,1,-12.5011,9987.5
50,55,-100,20,0.08,0.004,0.0005,1,-21.6443,9978.36
45,45,-100,15,0.08,0.004,0.0005,6,7.2276,10007.23
40,45,-200,25,0.08,0.002,0.001,6,6.77,10006.77
40,60,-50,15,0.08,0.004,0.0005,1,-26.1204,9973.88
40,40,0,15,0.08,0.008,0.0005,4,3.4038,10003.4
45,45,-150,10,0.08,0.004,0.0005,4,1.2044,10001.2
45,50,50,25,0.08,0.008,0.0005,2,-8.1715,9991.83
45,40,-150,20,0.08,0.008,0.0001,4,5.165,10005.17
40,45,-100,10,0.08,0.002,0.001,7,14.0603,10014.06
40,60,-200,30,0.08,0.002,0.0001,5,2.9883,10002.99
50,45,-200,20,0.08,0.002,0.001,6,6.4696,10006.47
50,60,-200,10,0.08,0.002,0.0005,6,10.6256,10010.63
45,45,-200,30,0.08,0.008,0.0001,4,17.0083,10017.01
40,60,-150,10,0.08,0.002,0.0005,6,-3.7225,9996.28
50,50,50,20,0.08,0.004,0.001,2,-16.975,9983.03
45,60,50,10,0.08,0.008,0.0001,2,-125.1399,9874.86
45,50,50,10,0.08,0.002,0.0005,4,-26.0283,9973.97
50,50,-50,25,0.08,0.008,0.0005,1,-15.5419,9984.46
45,55,100,25,0.08,0.002,0.001,3,-17.1708,9982.83
40,50,50,20,0.08,0.006,0.0001,2,-10.3755,9989.62
45,40,-150,10,0.08,0.008,0.0001,4,10.3301,10010.33
50,60,100,30,0.08,0.004,0.0005,5,-6.6261,9993.37
40,60,50,25,0.08,0.004,0.0005,5,-8.495,9991.51
50,60,-50,25,0.08,0.006,0.0001,1,-17.4685,9982.53
50,40,100,25,0.08,0.002,0.001,5,11.3874,10011.39
50,40,-50,20,0.08,0.008,0.001,4,26.6022,10026.6
45,40,-200,30,0.08,0.004,0.0005,5,7.9325,10007.93
50,60,-50,30,0.08,0.008,0.001,1,-14.2699,9985.73
50,45,-100,30,0.08,0.002,0.0001,7,5.3725,10005.37
45,55,-100,20,0.08,0.004,0.001,1,-21.4048,9978.6
50,45,-100,25,0.08,0.004,0.0005,6,4.4283,10004.43
45,50,50,20,0.08,0.006,0.0005,2,-16.228,9983.77
45,50,-200,20,0.08,0.002,0.0005,6,5.6108,10005.61
40,60,-150,30,0.08,0.006,0.001,1,-12.5011,9987.5
40,50,0,30,0.08,0.004,0.001,1,-12.5011,9987.5
45,60,100,20,0.08,0.008,0.0005,2,-66.4426,9933.56
45,60,0,15,0.08,0.008,0.0005,1,-62.0744,9937.93
40,45,50,20,0.08,0.002,0.0001,8,7.4603,10007.46
40,40,100,20,0.08,0.002,0.0005,6,14.1049,10014.1
40,50,-200,30,0.08,0.008,0.0005,4,17.8155,10017.82
40,50,100,30,0.08,0.004,0.0005,2,-11.3152,9988.68
50,50,-150,25,0.08,0.004,0.0005,1,-15.5419,9984.46
40,55,-200,30,0.08,0.002,0.001,6,5.6417,10005.64
50,55,-150,30,0.08,0.006,0.0001,1,-13.0798,9986.92
45,55,-150,25,0.08,0.002,0.001,5,-2.6192,9997.38
50,45,0,20,0.08,0.002,0.0005,8,6.4625,10006.46
40,45,-150,25,0.08,0.004,0.0005,4,0.4817,10000.48
45,50,-50,20,0.08,0.006,0.001,1,-19.1869,9980.81
45,50,-50,10,0.08,0.006,0.0001,1,-39.2393,9960.76
50,45,0,15,0.08,0.008,0.0001,1,-42.9047,9957.1
45,60,-200,30,0.08,0.006,0.0001,4,4.8551,10004.86
50,40,-100,15,0.08,0.002,0.001,5,18.979,10018.98
40,60,100,15,0.08,0.006,0.0005,3,-42.8497,9957.15
50,40,50,20,0.08,0.006,0.001,4,18.545,10018.55
40,40,-150,20,0.08,0.008,0.0005,4,3.0524,10003.05
50,55,-150,30,0.08,0.004,0.0005,1,-12.9516,9987.05
50,60,-200,20,0.08,0.002,0.0001,5,2.7892,10002.79
40,50,-150,25,0.08,0.002,0.001,5,-2.4849,9997.52
50,55,-100,10,0.08,0.004,0.0005,1,-43.2885,9956.71
50,40,-50,15,0.08,0.006,0.0001,5,36.6802,10036.68
45,40,-150,20,0.08,0.002,0.0005,5,13.5642,10013.56
50,50,-50,20,0.08,0.006,0.0001,1,-19.6196,9980.38
45,45,0,20,0.08,0.002,0.001,8,5.7599,10005.76
40,50,-150,15,0.08,0.002,0.0005,6,-2.4816,9997.52
45,40,50,10,0.08,0.004,0.0005,5,31.8488,10031.85
45,55,-50,15,0.08,0.008,0.0001,1,-29.1142,9970.89
40,55,-200,20,0.08,0.008,0.001,4,10.017,10010.02
45,55,50,30,0.08,0.006,0.001,3,-11.9219,9988.08
40,40,-200,20,0.08,0.002,0.001,5,9.0833,10009.08
50,60,-200,20,0.08,0.008,0.001,4,27.3344,10027.33
50,60,-200,15,0.08,0.004,0.0001,4,1.3512,10001.35
45,40,-200,30,0.08,0.008,0.0001,4,9.5603,10009.56
45,60,50,15,0.08,0.006,0.001,4,-46.5586,9953.44
40,55,-50,15,0.08,0.008,0.001,1,-25.7998,9974.2
45,60,100,15,0.08,0.006,0.0001,3,-47.157,9952.84
40,50,-200,20,0.08,0.006,0.0005,4,2.1726,10002.17
50,50,-150,15,0.08,0.008,0.0005,1,-25.9032,9974.1
45,40,50,25,0.08,0.006,0.001,4,14.836,10014.84
50,50,-50,15,0.08,0.002,0.001,3,-20.2496,9979.75
50,60,0,25,0.08,0.008,0.0005,1,-37.2446,9962.76
50,45,100,10,0.08,0.006,0.001,4,13.2154,10013.22
40,55,100,10,0.08,0.008,0.0001,4,-51.3266,9948.67
50,60,0,20,0.08,0.008,0.0001,1,-46.9372,9953.06
45,50,-100,10,0.08,0.004,0.0001,1,-39.2393,9960.76
40,55,-150,10,0.08,0.004,0.0001,1,-38.3697,9961.63
50,40,-50,25,0.08,0.002,0.001,5,11.3874,10011.39
50,40,-100,20,0.08,0.002,0.0001,6,14.057,10014.06
40,40,-200,10,0.08,0.004,0.0005,5,23.7975,10023.8
50,45,0,25,0.08,0.008,0.0005,1,-25.433,9974.57
45,45,-100,15,0.08,0.004,0.0001,6,5.6245,10005.62
45,60,-50,25,0.08,0.006,0.0001,1,-17.4685,9982.53
40,40,-100,25,0.08,0.004,0.0001,5,12.3988,10012.4
40,50,-150,15,0.08,0.004,0.0005,1,-25.3233,9974.68
45,50,-200,20,0.08,0.008,0.0001,4,25.5125,10025.51
45,40,100,30,0.08,0.008,0.001,4,17.7348,10017.73
40,60,0,25,0.08,0.004,0.001,2,-13.4561,9986.54
40,45,-200,30,0.08,0.006,0.0001,4,4.8551,10004.86
40,60,0,30,0.08,0.004,0.001,2,-11.2134,9988.79
50,45,-200,20,0.08,0.004,0.0001,4,1.0134,10001.01
50,60,50,30,0.08,0.008,0.001,3,-18.6977,9981.3
40,45,0,25,0.08,0.004,0.001,6,7.6138,10007.61
50,60,-150,30,0.08,0.006,0.0005,1,-12.9516,9987.05
45,60,-50,15,0.08,0.008,0.0001,1,-29.1142,9970.89
40,45,-100,20,0.08,0.002,0.001,7,7.0301,10007.03
50,40,-100,25,0.08,0.006,0.0005,5,16.756,10016.76
40,50,-50,10,0.08,0.008,0.0005,1,-37.9849,9962.02
40,50,-50,20,0.08,0.006,0.0005,1,-18.9924,9981.01
50,50,100,10,0.08,0.004,0.0005,2,-34.8155,9965.18
45,60,-150,30,0.08,0.004,0.001,1,-12.7912,9987.21
50,40,50,10,0.08,0.004,0.0001,5,30.9969,10031.0
40,55,-150,20,0.08,0.006,0.001,1,-18.7517,9981.25
45,40,-150,10,0.08,0.008,0.001,4,62.1392,10062.14
50,40,-100,10,0.08,0.002,0.001,5,28.4685,10028.47
50,45,50,30,0.08,0.002,0.0005,8,4.3083,10004.31
45,55,-150,25,0.08,0.008,0.0005,1,-15.5419,9984.46
40,60,-200,30,0.08,0.006,0.0005,4,1.4484,10001.45
50,40,-50,25,0.08,0.002,0.0005,6,11.8877,10011.89
50,60,-150,25,0.08,0.004,0.0001,1,-15.6957,9984.3
50,55,-50,10,0.08,0.008,0.001,1,-42.8097,9957.19
40,55,100,20,0.08,0.004,0.0001,5,-9.481,9990.52
50,55,100,15,0.08,0.006,0.001,5,-8.0464,9991.95
45,45,-200,20,0.08,0.008,0.0001,4,25.5125,10025.51
45,50,50,20,0.08,0.004,0.0005,2,-17.4077,9982.59
50,55,-200,25,0.08,0.006,0.0001,4,5.9193,10005.92
50,60,100,20,0.08,0.006,0.001,4,-34.3773,9965.62
45,50,-150,30,0.08,0.008,0.001,1,-12.7912,9987.21
45,55,-50,30,0.08,0.002,0.0001,1,-14.5571,9985.44
50,40,-200,25,0.08,0.004,0.0001,5,9.4261,10009.43
45,55,50,25,0.08,0.002,0.001,4,-15.3916,9984.61
40,50,-100,20,0.08,0.006,0.0005,1,-18.9924,9981.01
40,60,50,30,0.08,0.002,0.001,4,-13.2042,9986.8
40,60,-100,25,0.08,0.004,0.0005,1,-15.6722,9984.33
40,45,-150,25,0.08,0.006,0.001,4,2.8042,10002.8
45,45,0,10,0.08,0.008,0.0001,1,-64.3571,9935.64
40,40,-100,30,0.08,0.004,0.0005,5,10.6163,10010.62
50,45,-50,15,0.08,0.006,0.0005,4,7.595,10007.6
50,40,50,25,0.08,0.002,0.0005,6,11.8877,10011.89
40,60,-50,20,0.08,0.002,0.0005,5,-4.9851,9995.01
50,45,-50,15,0.08,0.006,0.001,4,8.8103,10008.81
40,60,-100,10,0.08,0.004,0.0005,1,-39.1806,9960.82
40,40,-200,30,0.08,0.008,0.0005,4,10.6313,10010.63
40,45,-100,25,0.08,0.004,0.001,7,10.6985,10010.7
50,55,50,25,0.08,0.002,0.001,7,-8.444,9991.56
50,50,-100,10,0.08,0.008,0.0001,1,-39.2393,9960.76
40,45,-150,10,0.08,0.002,0.001,5,13.2477,10013.25
40,60,-50,15,0.08,0.004,0.0001,1,-26.3766,9973.62
40,45,-100,15,0.08,0.002,0.0001,7,10.1278,10010.13
40,40,0,15,0.08,0.004,0.001,4,20.8646,10020.86
45,45,-50,10,0.08,0.006,0.0001,4,9.3878,10009.39
40,45,-100,25,0.08,0.004,0.0005,6,4.5762,10004.58
50,40,-200,10,0.08,0.008,0.001,4,78.699,10078.7
40,60,0,20,0.08,0.004,0.001,2,-16.8201,9983.18
45,40,-50,10,0.08,0.002,0.0005,6,29.7193,10029.72
50,55,-200,15,0.08,0.006,0.001,4,3.7548,10003.75
45,60,-50,15,0.08,0.004,0.0005,1,-28.859,9971.14
40,60,-150,15,0.08,0.004,0.0001,1,-25.5798,9974.42
50,60,-50,15,0.08,0.004,0.001,1,-28.5398,9971.46
40,50,0,10,0.08,0.004,0.0001,1,-38.3697,9961.63
50,60,-200,25,0.08,0.008,0.0001,4,20.41,10020.41
50,45,-200,30,0.08,0.008,0.0001,4,17.0083,10017.01
50,45,-150,25,0.08,0.004,0.0005,4,0.4817,10000.48
45,60,-150,20,0.08,0.006,0.001,1,-19.1869,9980.81
40,60,50,10,0.08,0.008,0.0005,2,-123.189,9876.81
