[2025-05-12 21:36:51] PID 9 | 171.86 MB | /usr/local/bin/python bots/xrp_grid/2 Подготовка данных к тесту.py
[2025-05-12 21:36:51] PID 10 | 153.59 MB | /usr/local/bin/python bots/doge_grid/1 Формирование базы.py
[2025-05-12 21:36:51] PID 11 | 141.72 MB | /usr/local/bin/python bots/doge_grid/2 Подготовка данных к тесту.py
[2025-05-12 21:36:51] PID 12 | 141.71 MB | /usr/local/bin/python bots/xrp_grid/3 Запись позиций.py --symbol XRPUSDT
[2025-05-12 21:36:51] PID 13 | 151.88 MB | /usr/local/bin/python bots/xrp_grid/4 Торговля.py --symbol XRPUSDT
[2025-05-12 21:36:51] PID 14 | 143.50 MB | /usr/local/bin/python bots/doge_grid/3 Запись позиций.py --symbol XRPUSDT
[2025-05-12 21:36:51] PID 15 | 143.44 MB | /usr/local/bin/python bots/doge_grid/4 Торговля.py --symbol XRPUSDT
[2025-05-12 21:37:51] PID 1 | 12.63 MB | python run_strategies.py
[2025-05-12 21:37:51] PID 7 | 11.48 MB | /usr/local/bin/python memory_watcher.py
[2025-05-12 21:37:51] PID 8 | 158.18 MB | /usr/local/bin/python bots/xrp_grid/1 Формирование базы.py
[2025-05-12 21:37:51] PID 9 | 174.02 MB | /usr/local/bin/python bots/xrp_grid/2 Подготовка данных к тесту.py
[2025-05-12 21:37:51] PID 10 | 154.57 MB | /usr/local/bin/python bots/doge_grid/1 Формирование базы.py
[2025-05-12 21:37:51] PID 11 | 141.98 MB | /usr/local/bin/python bots/doge_grid/2 Подготовка данных к тесту.py
[2025-05-12 21:37:51] PID 12 | 141.71 MB | /usr/local/bin/python bots/xrp_grid/3 Запись позиций.py --symbol XRPUSDT
[2025-05-12 21:37:51] PID 13 | 154.13 MB | /usr/local/bin/python bots/xrp_grid/4 Торговля.py --symbol XRPUSDT
[2025-05-12 21:37:51] PID 14 | 143.75 MB | /usr/local/bin/python bots/doge_grid/3 Запись позиций.py --symbol XRPUSDT
[2025-05-12 21:37:51] PID 15 | 143.44 MB | /usr/local/bin/python bots/doge_grid/4 Торговля.py --symbol XRPUSDT
[2025-05-12 21:38:51] PID 1 | 12.63 MB | python run_strategies.py
[2025-05-12 21:38:51] PID 7 | 11.48 MB | /usr/local/bin/python memory_watcher.py
[2025-05-12 21:38:51] PID 8 | 160.28 MB | /usr/local/bin/python bots/xrp_grid/1 Формирование базы.py
[2025-05-12 21:38:51] PID 9 | 176.02 MB | /usr/local/bin/python bots/xrp_grid/2 Подготовка данных к тесту.py
[2025-05-12 21:38:51] PID 10 | 154.39 MB | /usr/local/bin/python bots/doge_grid/1 Формирование базы.py
[2025-05-12 21:38:51] PID 11 | 142.23 MB | /usr/local/bin/python bots/doge_grid/2 Подготовка данных к тесту.py
[2025-05-12 21:38:51] PID 12 | 142.45 MB | /usr/local/bin/python bots/xrp_grid/3 Запись позиций.py --symbol XRPUSDT
[2025-05-12 21:38:51] PID 13 | 156.13 MB | /usr/local/bin/python bots/xrp_grid/4 Торговля.py --symbol XRPUSDT
